id;code;code_secteur;secteur;code_sous_secteur;sous_secteur;nom;version;date_debut;date_fin;metropole;outre_mer;no_version
BAR-TH-129v17-2;BAR-TH-129;BAR;Bâtiment Résidentiel;TH;Thermique;Pompe à chaleur de type air/air;A17-2;01/07/2015;31/03/2018;1;1;2
BAR-TH-129v27-3;BAR-TH-129;BAR;Bâtiment Résidentiel;TH;Thermique;Pompe à chaleur de type air/air;A27-3;01/04/2018;;1;1;3
BAR-TH-130v26-1;BAR-TH-130;BAR;Bâtiment Résidentiel;TH;Thermique;Surperformance énergétique pour un bâtiment neuf (France métropolitaine);A26-1;01/01/2015;31/12/2023;1;0;1
BAR-TH-130v54-2;BAR-TH-130;BAR;Bâtiment Résidentiel;TH;Thermique;Surperformance énergétique pour un bâtiment neuf (France métropolitaine);A54-2;01/01/2024;31/12/2027;1;0;2
BAR-TH-131v16-1;BAR-TH-131;BAR;Bâtiment Résidentiel;TH;Thermique;Isolation d'un réseau hydraulique d'eau chaude sanitaire;A16-1;01/01/2015;12/03/2016;1;1;1
BAR-TH-131v20-2;BAR-TH-131;BAR;Bâtiment Résidentiel;TH;Thermique;Isolation d'un réseau hydraulique d'eau chaude sanitaire;A20-2;13/03/2016;31/03/2018;1;1;2
BAR-TH-135v14-1;BAR-TH-135;BAR;Bâtiment Résidentiel;TH;Thermique;Chauffe-eau solaire collectif (France d'outre mer);A14-1;01/01/2015;30/09/2020;0;1;1
BAR-TH-135v35-2;BAR-TH-135;BAR;Bâtiment Résidentiel;TH;Thermique;Chauffe-eau solaire collectif (France d'outre mer);A35-2;01/10/2020;;0;1;2
BAR-TH-137v17-1;BAR-TH-137;BAR;Bâtiment Résidentiel;TH;Thermique;Raccordement d'un bâtiment résidentiel à un réseau de chaleur;A17-1;01/01/2015;30/09/2020;1;1;1
BAR-TH-137v35-2;BAR-TH-137;BAR;Bâtiment Résidentiel;TH;Thermique;Raccordement d'un bâtiment résidentiel à un réseau de chaleur;A35-2;01/10/2020;31/08/2022;1;1;2
BAR-TH-137v45-3;BAR-TH-137;BAR;Bâtiment Résidentiel;TH;Thermique;Raccordement d'un bâtiment résidentiel à un réseau de chaleur;A45-3;01/09/2022;;1;1;3
BAR-TH-139v14-1;BAR-TH-139;BAR;Bâtiment Résidentiel;TH;Thermique;Système de variation électronique de vitesse sur une pompe;A14-1;01/01/2015;31/01/2017;1;1;1
BAR-TH-139v23-2;BAR-TH-139;BAR;Bâtiment Résidentiel;TH;Thermique;Système de variation électronique de vitesse sur une pompe;A23-2;01/02/2017;;1;1;2
BAR-TH-141v15-1;BAR-TH-141;BAR;Bâtiment Résidentiel;TH;Thermique;Climatiseur performant (France d'outre-mer);A15-1;01/01/2015;;0;1;1
BAR-TH-143v25-1;BAR-TH-143;BAR;Bâtiment Résidentiel;TH;Thermique;Système solaire combiné (France métropolitaine);A25-1;01/01/2015;28/02/2023;1;0;1
BAR-TH-143v51-5;BAR-TH-143;BAR;Bâtiment Résidentiel;TH;Thermique;Système solaire combiné (France métropolitaine);A51-5;01/03/2023;;1;0;2
BAR-TH-145v19-1;BAR-TH-145;BAR;Bâtiment Résidentiel;TH;Thermique;Rénovation globale d'un bâtiment résidentiel (France métropolitaine);A19-1;01/01/2015;31/03/2020;1;0;1
BAR-TH-145v32-2;BAR-TH-145;BAR;Bâtiment Résidentiel;TH;Thermique;Rénovation globale d'un bâtiment résidentiel (France métropolitaine);A32-2;01/04/2020;11/10/2020;1;0;2
BAR-TH-145v36-3;BAR-TH-145;BAR;Bâtiment Résidentiel;TH;Thermique;Rénovation globale d'un bâtiment résidentiel (France métropolitaine);A36-3;12/10/2020;31/07/2023;1;0;3
BAR-TH-145v52-4;BAR-TH-145;BAR;Bâtiment Résidentiel;TH;Thermique;Rénovation globale d'un bâtiment résidentiel (France métropolitaine);A52-4;01/08/2023;;1;0;4
BAR-TH-148v14-1;BAR-TH-148;BAR;Bâtiment Résidentiel;TH;Thermique;Chauffe-eau thermodynamique à accumulation;A14-1;01/01/2015;31/12/2014;1;1;1
BAR-TH-148v15-2;BAR-TH-148;BAR;Bâtiment Résidentiel;TH;Thermique;Chauffe-eau thermodynamique à accumulation;A15-2;01/01/2015;;1;1;2
BAR-TH-150v14-1;BAR-TH-150;BAR;Bâtiment Résidentiel;TH;Thermique;Pompe à chaleur collective à absorption de type air/eau ou eau/eau;A14-1;01/01/2015;;1;1;1
BAR-TH-155v16-1;BAR-TH-155;BAR;Bâtiment Résidentiel;TH;Thermique;Ventilation hybride hygroréglable (France métropolitaine);A16-1;01/01/2015;31/03/2020;1;0;1
BAR-TH-155v32-2;BAR-TH-155;BAR;Bâtiment Résidentiel;TH;Thermique;Ventilation hybride hygroréglable (France métropolitaine);A32-2;01/04/2020;11/10/2020;1;0;2
BAR-TH-155v36-3;BAR-TH-155;BAR;Bâtiment Résidentiel;TH;Thermique;Ventilation hybride hygroréglable (France métropolitaine);A36-3;12/10/2020;31/03/2022;1;0;3
